j,0.013548723,0.000124083,0.00023348,0.000417833,0.00055711,0.000729307,0.000855417,0.001211966,0.001424175,0.001451524,0.001633852,0.00166424,0.001686524,0.002141323,0.003401402,0.003433816,0.003435842,0.003887614
k,0,0.000164084,0.000518082,0.000816371,0.000841692,0.000841692,0.000841692,0.000841692,0.000841692,0.000866001,0.000873091,0.000873091,0.000874104,0.000888284,0.000903477,0.000957666,0.01416744,0.049412155
l,0.001213592,0.000470003,0.000517611,0.000560154,0.000582439,0.000991159,0.001148671,0.001155762,0.001184631,0.001225148,0.001229706,0.001396334,0.001528522,0.002166675,0.003552884,0.006939635,0.011850353,0.055732901
m,0.005091778,0.000714407,0.000816913,0.000930866,0.000952137,0.00096176,0.00102608,0.00112889,0.00112889,0.001146616,0.001880978,0.00244112,0.00507571,0.006046086,0.010073435,0.012690279,0.013775118,0.019845001
n,0.004,0.001144615,0.001200326,0.001238311,0.002063342,0.002276057,0.002309483,0.002399634,0.002401153,0.002614374,0.002619945,0.003313296,0.003346216,0.003357864,0.003387239,0.003816217,0.00464834,0.021934237
o,0.002673486,0.005280337,0.005533565,0.006102319,0.007858713,0.009997489,0.010305414,0.010423925,0.01055459,0.010773377,0.010964313,0.01136492,0.016847827,0.017752361,0.017933671,0.021316341,0.031757184,0.143561705
p,0.005751807,0.003115129,0.003263517,0.015217139,0.015976297,0.015976297,0.016086703,0.016336381,0.017447536,0.017610102,0.018058309,0.020583459,0.023400297,0.025650474,0.026023221,0.028711455,0.036761755,0.039797844
q,0.001242016,4.20E-05,7.50E-05,7.50E-05,8.46E-05,0.000111429,0.000113455,0.000172715,0.000185884,0.000244131,0.000276547,0.000285157,0.000762783,0.000810394,0.001431863,0.002590218,0.00378352,0.005043172
r,0.002295684,0.000132697,0.000140294,0.000198033,0.000202591,0.000213228,0.000267927,0.000366183,0.000548008,0.000633096,0.000662979,0.000739963,0.001163885,0.001294049,0.00141763,0.0016577,0.001751904,0.005871079
s,0.006105006,7.65E-05,8.51E-05,9.37E-05,0.000109393,0.000160544,0.000163582,0.000165608,0.000190424,0.000193969,0.000263858,0.000471501,0.001352716,0.001911327,0.003319749,0.00339369,0.005667118,0.009024355
t,0.003503363,0.000306405,0.000368698,0.000368698,0.000611795,0.00110761,0.001619128,0.002465914,0.002465914,0.002565077,0.003170288,0.003173225,0.003173225,0.003346937,0.003355547,0.005181812,0.005436051,0.007228395
u,0.015518148,0.000282605,0.000416311,0.000751082,0.000769821,0.000799703,0.000817429,0.000907073,0.001100542,0.00115372,0.00120994,0.001466208,0.001586746,0.001939243,0.002038505,0.002187405,0.002583451,0.003851592
v,0.004675956,0.000491251,0.000817401,0.000876148,0.000986047,0.001143552,0.00170115,0.002830515,0.002949022,0.00424704,0.004943906,0.005906145,0.006072765,0.006087452,0.006173041,0.006202414,0.00654882,0.0108308
w,0.00634846,0.00026792,0.000322111,0.000393522,0.000403652,0.000414794,0.000468985,0.00047557,0.000479115,0.000611809,0.000672078,0.001384165,0.001508755,0.002138281,0.004980549,0.011705827,0.015674429,0.094675401
y,0.002824859,0,0,0,2.53E-06,2.53E-06,2.53E-06,1.16E-05,1.16E-05,1.16E-05,1.16E-05,1.57E-05,1.57E-05,1.57E-05,0.000358598,0.000358598,0.000358598,0.058183658
z,0.003024538,0.004922703,0.008159901,0.008873488,0.010398366,0.010959003,0.011011167,0.011041554,0.01108207,0.011129676,0.012026595,0.012139027,0.02001476,0.025145179,0.025538195,0.036855738,0.038675354,0.04152673
